# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1484.795,0.0,photic_stimulation/5
1484.835,0.0,photic_stimulation/5
1484.875,0.0,photic_stimulation/5
1484.915,0.0,photic_stimulation/5
1484.955,0.0,photic_stimulation/5
1484.995,0.0,photic_stimulation/5
1485.035,0.0,photic_stimulation/5
1485.075,0.0,photic_stimulation/5
1485.115,0.0,photic_stimulation/5
1485.155,0.0,photic_stimulation/5
1485.195,0.0,photic_stimulation/5
1485.235,0.0,photic_stimulation/5
1485.275,0.0,photic_stimulation/5
1485.315,0.0,photic_stimulation/5
1485.355,0.0,photic_stimulation/5
1485.395,0.0,photic_stimulation/5
1485.435,0.0,photic_stimulation/5
1485.475,0.0,photic_stimulation/5
1485.515,0.0,photic_stimulation/5
1485.555,0.0,photic_stimulation/5
1485.595,0.0,photic_stimulation/5
1485.635,0.0,photic_stimulation/5
1485.675,0.0,photic_stimulation/5
1485.715,0.0,photic_stimulation/5
1485.755,0.0,photic_stimulation/5
1485.795,0.0,photic_stimulation/5
1485.835,0.0,photic_stimulation/5
1485.875,0.0,photic_stimulation/5
1485.915,0.0,photic_stimulation/5
1485.955,0.0,photic_stimulation/5
1485.995,0.0,photic_stimulation/5
1486.035,0.0,photic_stimulation/5
1486.075,0.0,photic_stimulation/5
1486.115,0.0,photic_stimulation/5
1486.155,0.0,photic_stimulation/5
1486.195,0.0,photic_stimulation/5
1486.235,0.0,photic_stimulation/5
1486.275,0.0,photic_stimulation/5
1486.315,0.0,photic_stimulation/5
1486.355,0.0,photic_stimulation/5
1486.395,0.0,photic_stimulation/5
1486.435,0.0,photic_stimulation/5
1486.475,0.0,photic_stimulation/5
1486.515,0.0,photic_stimulation/5
1486.555,0.0,photic_stimulation/5
1486.595,0.0,photic_stimulation/5
1486.635,0.0,photic_stimulation/5
1486.675,0.0,photic_stimulation/5
1486.715,0.0,photic_stimulation/5
1486.755,0.0,photic_stimulation/5
1486.795,0.0,photic_stimulation/5
1486.835,0.0,photic_stimulation/5
1486.875,0.0,photic_stimulation/5
1486.915,0.0,photic_stimulation/5
1486.955,0.0,photic_stimulation/5
1486.995,0.0,photic_stimulation/5
1487.035,0.0,photic_stimulation/5
1487.075,0.0,photic_stimulation/5
1487.115,0.0,photic_stimulation/5
1487.155,0.0,photic_stimulation/5
1487.195,0.0,photic_stimulation/5
1487.235,0.0,photic_stimulation/5
1487.275,0.0,photic_stimulation/5
1487.315,0.0,photic_stimulation/5
1487.355,0.0,photic_stimulation/5
1487.395,0.0,photic_stimulation/5
1487.435,0.0,photic_stimulation/5
1487.475,0.0,photic_stimulation/5
1487.515,0.0,photic_stimulation/5
1487.555,0.0,photic_stimulation/5
1487.595,0.0,photic_stimulation/5
1487.635,0.0,photic_stimulation/5
1487.675,0.0,photic_stimulation/5
1487.715,0.0,photic_stimulation/5
1487.755,0.0,photic_stimulation/5
1487.795,0.0,photic_stimulation/5
1487.835,0.0,photic_stimulation/5
1487.875,0.0,photic_stimulation/5
1487.915,0.0,photic_stimulation/5
1487.955,0.0,photic_stimulation/5
1487.995,0.0,photic_stimulation/5
1488.035,0.0,photic_stimulation/5
1488.075,0.0,photic_stimulation/5
1488.115,0.0,photic_stimulation/5
1488.155,0.0,photic_stimulation/5
1488.195,0.0,photic_stimulation/5
1488.235,0.0,photic_stimulation/5
1488.275,0.0,photic_stimulation/5
1488.315,0.0,photic_stimulation/5
1488.355,0.0,photic_stimulation/5
1488.395,0.0,photic_stimulation/5
1488.435,0.0,photic_stimulation/5
1488.475,0.0,photic_stimulation/5
1488.515,0.0,photic_stimulation/5
1488.555,0.0,photic_stimulation/5
1488.595,0.0,photic_stimulation/5
1488.635,0.0,photic_stimulation/5
1488.675,0.0,photic_stimulation/5
1488.715,0.0,photic_stimulation/5
1488.755,0.0,photic_stimulation/5
1488.795,0.0,photic_stimulation/5
1488.835,0.0,photic_stimulation/5
1488.875,0.0,photic_stimulation/5
1488.915,0.0,photic_stimulation/5
1488.955,0.0,photic_stimulation/5
1488.995,0.0,photic_stimulation/5
1489.035,0.0,photic_stimulation/5
1489.075,0.0,photic_stimulation/5
